"canonical_id";"ppt_original";"slides";"nombre";"tipo_canonic";"ciudad";"zona_direccion";"mapa_url";"lat";"lng";"media";"estado_notas"
"ba-01";"01";"3";"Av. San Juan 1981 - San Crístobal - Capital Federal";"Tradicional, medianera";"Buenos Aires";"San Cristóbal / Capital Federal";"https://maps.app.goo.gl/c5UV1djaCvFH2Bdj9";"NULL";"NULL";"Imágenes sí; video no";"Texto extra: cercanía a Av. 9 de Julio y San Telmo"
"ba-02";"02";"4";"Autopista 25 de Mayo y San Pedrito – Flores";"Tradicional, medianera";"Buenos Aires";"Flores";"https://maps.app.goo.gl/kDu9L7MkvrvTpMxy8";"NULL";"NULL";"Imágenes sí; video no";"Texto extra: subte San Pedrito / Pre Metro"
"ba-03";"03";"5";"Av. Libertador y Lavalle Vicente López";"Tradicional, medianera";"Buenos Aires";"Vicente López";"https://maps.app.goo.gl/Jb1yEkdfDpfcTHaH7";"NULL";"NULL";"Imágenes sí; video no";"Texto extra: cercanía a Lugones/Gral. Paz"
"ba-04";"04";"6";"Av. Los Incas 4560, Casi Combatientes de Malvinas, Hacia Triunvirato – Villa Urquiza";"Tradicional, medianera";"Buenos Aires";"Villa Urquiza";"https://maps.app.goo.gl/yZk7G5WZgCe1qNRW7";"NULL";"NULL";"Imágenes sí; video no";"El PPT marca disponible a partir del 20 de junio"
"ba-05";"05";"7";"Av. J. B. Justo y Lope de Vega Liniers";"Tradicional, medianera";"Buenos Aires";"Liniers";"https://maps.app.goo.gl/ZvHK8X9KLB4T7wXS8";"NULL";"NULL";"Imágenes sí; video no";"Texto extra: cercanía Estadio Vélez"
"ba-06";"06";"8";"Av. Zabala y J. M. de Rosas - Morón";"Tradicional, medianera";"Buenos Aires";"Morón";"https://maps.app.goo.gl/GkoM7NxKiwEVN8f38";"NULL";"NULL";"Imágenes sí; video no";"Texto extra: Shopping Oeste Plaza"
"ba-07";"07";"9";"Olazabal y Triunvirato Villa Urquiza";"Tradicional, medianera";"Buenos Aires";"Villa Urquiza";"https://maps.app.goo.gl/b4t2NAvYgzmyduhr7";"NULL";"NULL";"Imágenes sí; video no";"Texto extra: centro comercial"
"ba-08";"08";"10";"Av. Donado y Ruiz Huidobro Saavedra";"Tradicional, medianera";"Buenos Aires";"Saavedra";"https://maps.app.goo.gl/xmFCLkURyLZLuesP9";"NULL";"NULL";"Imágenes sí; video no";"Texto extra: Bajada de Gral. Paz / DOT"
"ba-09";"09";"11";"Av. Rivadavia 6646 - Caballito";"Tradicional, medianera";"Buenos Aires";"Caballito";"https://maps.app.goo.gl/7hnH4E42k5C2Mbrs7";"NULL";"NULL";"Imágenes sí; video no";"El PPT marca no disponible por el momento"
"ba-10";"10";"12";"Autopista 25 de Mayo y Membrillar – Flores";"Tradicional, sobretecho";"Buenos Aires";"Flores";"https://maps.app.goo.gl/RqKX2iHdXKQJ3gez5";"NULL";"NULL";"Imágenes sí; video no";"El PPT marca no disponible por el momento"
