"canonical_id";"ppt_original";"slides";"nombre";"tipo_canonic";"ciudad";"zona_direccion";"mapa_url";"lat";"lng";"media";"estado_notas"
"mza-gm-01";"01";"3-5";"Columna Acc. Sur casi R. Peña (cara Sur / cara Norte)";"Tradicional, monocolumna";"Mendoza";"Acceso Sur / R. Peña";"https://maps.app.goo.gl/hoXBQT7xCbpXhvxW8";"NULL";"NULL";"Imágenes sí; video no";"Dos caras; mismo mapa para ambas caras"
"mza-gm-02";"02";"6-8";"Top Site Panamericana casi rotonda fte a Chango Más (ambas caras)";"Tradicional, monocolumna";"Mendoza";"Panamericana / Godoy Cruz";"https://maps.app.goo.gl/TDo3iZyJykrSfZyMA";"NULL";"NULL";"Imágenes sí; video no";"Dos caras; nombre repetido en slides técnicas"
"mza-gm-03";"03";"9-10";"Columna Corredor del Oeste casi Palmares Valley (cara Norte / cara Sur)";"Tradicional, monocolumna";"Mendoza";"Corredor del Oeste / Palmares Valley";"https://maps.app.goo.gl/aykdux5KmGktw6G36";"NULL";"NULL";"Imágenes sí; video no";"Dos caras"
"mza-gm-04";"04";"11-12";"Columna Carril Nacional y Tirasso (cara Sur / cara Norte)";"Tradicional, monocolumna";"Mendoza";"Carril Nacional / Tirasso";"https://maps.app.goo.gl/x3LtEodMDbSZB7z49";"NULL";"NULL";"Imágenes sí; video no";"Dos caras"
"mza-gm-05";"05";"13-14";"Columna Acc. Norte - Aeropuerto (cara Norte / cara Sur)";"Tradicional, monocolumna";"Mendoza";"Acceso Norte / Aeropuerto";"https://maps.app.goo.gl/nXgWqWuXrY3AeUqh8";"NULL";"NULL";"Imágenes sí; video no";"Dos caras"
"mza-gm-06";"06";"15";"Top Site Salida Aeropuerto hacia Ciudad – Acceso Norte";"Tradicional, monocolumna";"Mendoza";"Salida Aeropuerto / Acceso Norte";"https://maps.app.goo.gl/5sih7TgpQCL8pkES8";"NULL";"NULL";"Imágenes sí; video no";"Un solo soporte"
"mza-gm-07";"07";"16";"Top Site llegando a Aeropuerto – Acceso Norte";"Tradicional, monocolumna";"Mendoza";"Acceso Norte / Aeropuerto";"https://maps.app.goo.gl/5sih7TgpQCL8pkES8";"NULL";"NULL";"Imágenes sí; video no";"Un solo soporte"
"mza-gm-08";"08";"17-19";"Columna San Martín Sur y Panamericana (cara Sur / cara Norte)";"Tradicional, monocolumna";"Mendoza";"San Martín Sur / Panamericana";"https://maps.app.goo.gl/TDo3iZyJykrSfZyMA";"NULL";"NULL";"Imágenes sí; video no";"Dos caras; una slide técnica muestra CARAS incompleto"
"mza-gm-09";"09";"20-22";"Columna Acc. Este y Acc. Sur (cara Este / cara Oeste)";"Tradicional, monocolumna";"Mendoza";"Acceso Este / Acceso Sur";"https://maps.app.goo.gl/pZUVjbinXdCR4AUP9";"NULL";"NULL";"Imágenes sí; video no";"Dos caras"
"mza-gm-10";"10";"23-24";"Sobre techo Acceso Norte y Rotonda del Avión";"Tradicional, sobretecho";"Mendoza";"Acceso Norte / Rotonda del Avión";"https://maps.app.goo.gl/5MBzjZgJ15r7p2ha7";"NULL";"NULL";"Imágenes sí; video no";"Un solo soporte"
